ID,DATE,YEAR,LATITUDE,LONGITUDE,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,DAMAGE_TOTAL_DESCRIPTION,HOUSES_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION
5685,8/05/2018,2018,-8.287,116.452,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,6.9,31,Extreme (~$25 million or more),Many (~101 to 1000 houses),Many (~101 to 1000 people)
5690,25/10/2018,2018,37.506,20.563,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,6.8,14,Limited (<$1 million),,
5686,19/08/2018,2018,-18.178,-178.111,FIJI,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,8.2,563,,,
5687,21/08/2018,2018,10.855,-62.883,VENEZUELA,Caribbean Sea,Earthquake,Questionable Tsunami,7.3,154,Moderate (~$1 to $5 million),,Few (~1 to 50 people)
5688,29/08/2018,2018,-22.066,170.05,NEW CALEDONIA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.1,27,,,
5689,28/09/2018,2018,-0.178,119.84,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake and Landslide,Definite Tsunami,7.5,10,Extreme (~$25 million or more),Very Many (~1001 or more houses),Very Many (~1001 or more people)
5698,12/05/2018,2018,-21.969,169.446,NEW CALEDONIA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.5,10,Limited (<$1 million),,
5699,22/12/2018,2018,-6.102,105.423,INDONESIA,Indian Ocean (including west coast of Australia),Volcano and Landslide,Definite Tsunami,,,Extreme (~$25 million or more),Many (~101 to 1000 houses),Many (~101 to 1000 people)
5725,16/10/2018,2018,-21.743,169.522,NEW CALEDONIA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.5,17,,,
5714,12/11/2018,2018,50.56,131.47,RUSSIA,Kamchatka and Kuril Islands,Landslide,Event that only caused a seiche or disturbance in an inland river,,,,,
5712,18/06/2019,2019,38.646,139.472,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,12,Moderate (~$1 to $5 million),,
5705,14/05/2019,2019,-4.051,152.597,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,7.6,10,Limited (<$1 million),Few (~1 to 50 houses),
5710,14/06/2019,2019,-30.056,-72.082,CHILE,West Coast of South America,Earthquake,Definite Tsunami,6.4,11,,,
5711,15/06/2019,2019,-30.805,-178.095,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.2,34,,,
